name,time,value
t(0),0,0.5
t(0),1,0.5
t(0),2,0.5
t(0),3,0.5
t(0),4,0.5
t(0),5,0.5
t(0),6,0.5
t(0),7,0.5
t(0),8,0.5
t(0),9,0.5
t(0),10,0.5
t(0),11,0.5
t(0),12,0.5
t(0),13,0.5
t(0),14,0.5
t(0),15,0.5
t(0),16,0.5
t(0),17,0.5
t(0),18,0.5
t(0),19,0.5
t(0),20,0.5
t(0),21,0.5
t(0),22,0.5
t(0),23,0.5
t(0),24,0.5
t(0),25,0.5
t(0),26,0.5
t(0),27,0.5
t(0),28,0.5
t(0),29,0.5
t(0),30,0.5
t(0),31,0.5
t(0),32,0.5
t(0),33,0.5
t(0),34,0.5
t(0),35,0.5
t(0),36,0.5
t(0),37,0.5
t(0),38,0.5
t(0),39,0.5
t(0),40,0.5
t(0),41,0.525
t(0),42,0.55
t(0),43,0.575
t(0),44,0.6
t(0),45,0.625
t(0),46,0.65
t(0),47,0.675
t(0),48,0.7
t(0),49,0.725
t(0),50,0.75
t(0),51,0.775
t(0),52,0.8
t(0),53,0.825
t(0),54,0.85
t(0),55,0.875
t(0),56,0.9
t(0),57,0.925
t(0),58,0.95
t(0),59,0.975
t(0),60,0.5
t(0),61,0.5
t(0),62,0.5
t(0),63,0.5
t(0),64,0.5
t(0),65,0.5
t(0),66,0.5
t(0),67,0.5
t(0),68,0.5
t(0),69,0.5
t(0),70,0.5
t(0),71,0.5
t(0),72,0.5
t(0),73,0.5
t(0),74,0.5
t(0),75,0.5
t(0),76,0.5
t(0),77,0.5
t(0),78,0.5
t(0),79,0.5
t(0),80,0.5
t(0),81,0.5
t(0),82,0.5
t(0),83,0.5
t(0),84,0.5
t(0),85,0.5
t(0),86,0.5
t(0),87,0.5
t(0),88,0.5
t(0),89,0.5
t(0),90,0.5
t(0),91,0.5
t(0),92,0.5
t(0),93,0.5
t(0),94,0.5
t(0),95,0.5
t(0),96,0.5
t(0),97,0.5
t(0),98,0.5
t(0),99,0.5
t(0),100,0
t(0),101,1
t(0)i1,0,0.4342324
t(0)i1,1,0.56817436
t(0)i1,2,0.5664012
t(0)i1,3,0.56108534
t(0)i1,4,0.53413534
t(0)i1,5,0.48188603
t(0)i1,6,0.37044013
t(0)i1,7,0.36378515
t(0)i1,8,0.45089108
t(0)i1,9,0.55272186
t(0)i1,10,0.45922965
t(0)i1,11,0.43746495
t(0)i1,12,0.4437604
t(0)i1,13,0.50328624
t(0)i1,14,0.504475
t(0)i1,15,0.56485915
t(0)i1,16,0.68611336
t(0)i1,17,0.66299987
t(0)i1,18,0.57750833
t(0)i1,19,0.25350785
t(0)i1,20,0.30869555
t(0)i1,21,0.4791587
t(0)i1,22,0.5898894
t(0)i1,23,0.5947933
t(0)i1,24,0.61438257
t(0)i1,25,0.51940894
t(0)i1,26,0.5540786
t(0)i1,27,0.4200027
t(0)i1,28,0.45572758
t(0)i1,29,0.6297919
t(0)i1,30,0.5092077
t(0)i1,31,0.5724057
t(0)i1,32,0.6491828
t(0)i1,33,0.5820016
t(0)i1,34,0.5131587
t(0)i1,35,0.5203427
t(0)i1,36,0.35849726
t(0)i1,37,0.40700078
t(0)i1,38,0.38985538
t(0)i1,39,0.3052613
t(0)i1,40,0.5
t(0)i1,41,0.47500002
t(0)i1,42,0.45
t(0)i1,43,0.425
t(0)i1,44,0.39999998
t(0)i1,45,0.375
t(0)i1,46,0.35000002
t(0)i1,47,0.325
t(0)i1,48,0.3
t(0)i1,49,0.27499998
t(0)i1,50,0.25
t(0)i1,51,0.22500002
t(0)i1,52,0.19999999
t(0)i1,53,0.17500001
t(0)i1,54,0.14999998
t(0)i1,55,0.125
t(0)i1,56,0.100000024
t(0)i1,57,0.07499999
t(0)i1,58,0.050000012
t(0)i1,59,0.024999976
t(0)i1,60,0.5
t(0)i1,61,0.5232369
t(0)i1,62,0.49203902
t(0)i1,63,0.549937
t(0)i1,64,0.7161825
t(0)i1,65,0.58753204
t(0)i1,66,0.5024131
t(0)i1,67,0.5240214
t(0)i1,68,0.6066791
t(0)i1,69,0.5002476
t(0)i1,70,0.69509757
t(0)i1,71,0.6119348
t(0)i1,72,0.66337156
t(0)i1,73,0.47572786
t(0)i1,74,0.48995274
t(0)i1,75,0.35838974
t(0)i1,76,0.43277335
t(0)i1,77,0.36842543
t(0)i1,78,0.30358815
t(0)i1,79,0.28268087
t(0)i1,80,0.5307723
t(0)i1,81,0.5111706
t(0)i1,82,0.56644195
t(0)i1,83,0.62175333
t(0)i1,84,0.48383576
t(0)i1,85,0.4918306
t(0)i1,86,0.5593866
t(0)i1,87,0.5898221
t(0)i1,88,0.45378286
t(0)i1,89,0.4590971
t(0)i1,90,0.48031932
t(0)i1,91,0.6829506
t(0)i1,92,0.552479
t(0)i1,93,0.6383802
t(0)i1,94,0.53697085
t(0)i1,95,0.46613085
t(0)i1,96,0.50818515
t(0)i1,97,0.69207805
t(0)i1,98,0.49139416
t(0)i1,99,0.4040861
t(0)i1,100,0
t(0)i1,101,1
t(0)t0,0,0.5
t(0)t0,1,0.525
t(0)t0,2,0.55
t(0)t0,3,0.575
t(0)t0,4,0.6
t(0)t0,5,0.625
t(0)t0,6,0.65
t(0)t0,7,0.675
t(0)t0,8,0.7
t(0)t0,9,0.725
t(0)t0,10,0.75
t(0)t0,11,0.775
t(0)t0,12,0.8
